"REFERENCIA","CREDITOS","OFERTADA","NOMBRE","CURSO","CARACTER","DURACION","Unidad_Temporal_(Cuatrimestre)","IDIOMAS_DE_IMPARTICION","TITULACION_CODIGO","CODIGO"
"53117",6,"Sí  ","Biología Celular y Genética",2,"","2º Semestre",,"",1056,209
"53118",6,"Sí  ","Control Automático",2,"","2º Semestre",,"",1056,210
"53161",6,"Sí  ","Fundamentos de Informática Clínica",3,"","1º Semestre",,"",1056,301
"53162",6,"Sí  ","Imágenes Biomédicas",3,"","1º Semestre",,"",1056,302
"53163",6,"Sí  ","Ingeniería del Software",3,"","1º Semestre",,"",1056,303
"53164",6,"Sí  ","Redes y Sistemas Distribuidos",3,"","1º Semestre",,"",1056,304
"53165",6,"Sí  ","Sistemas Inteligentes",3,"","1º Semestre",,"",1056,305
"53210",4,5,"Sí  ","Bases de Datos Biológicas",3,"","2º Semestre",,"",1056,320
"53211",4,5,"Sí  ","Biomateriales",3,"","2º Semestre",,"",1056,330
"53212",4,5,"Sí  ","Biomecánica I: Sólidos",3,"","2º Semestre",,"",1056,331
"53213",4,5,"Sí  ","Biomecánica II: Fluidos",3,"","2º Semestre",,"",1056,332
"53214",4,5,"Sí  ","Biotecnología",3,"","2º Semestre",,"",1056,333
"53215",6,"Sí  ","Ciencia y Resistencia de Materiales",3,"","2º Semestre",,"",1056,334
"53218",4,5,"Sí  ","Genómica, Proteómica y Metabolómica",3,"","2º Semestre",,"",1056,321
"53220",6,"Sí  ","Ingeniería del Software Avanzada",3,"","2º Semestre",,"",1056,322
"53221",6,"Sí  ","Instrumentación Biomédica",3,"","2º Semestre",,"",1056,335
"53222",4,5,"Sí  ","Minería de Datos",3,"","2º Semestre",,"",1056,323
"53223",4,5,"Sí  ","Programación Avanzada en Bioinformática",3,"","2º Semestre",,"",1056,324
"53226",6,"Sí  ","Técnicas y Modelos Algorítmicos",3,"","2º Semestre",,"",1056,325
"53283",6,"Sí  ","Electromedicina",4,"","1º Semestre",,"",1056,415
"53286",6,"Sí  ","Instalaciones Hospitalarias",4,"","1º Semestre",,"",1056,416
"53296",4,5,"Sí  ","Proyectos de Ingeniería Biomédica",4,"","2º Semestre",,"",1056,414
"53304",12,"Sí  ","Trabajo Fin de Grado",4,"","2º Semestre",,"",1056,423
"53308",6,"Sí  ","Biología de Sistemas",4,"","1º Semestre",,"",1056,425
"53309",6,"Sí  ","Herramientas y Algoritmos en Bioinformática",4,"","1º Semestre",,"",1056,424
"53310",4,5,"Sí  ","Proyectos de Bioinformática",4,"","2º Semestre",,"",1056,426
"51196",12,"SI  ","Prácticas Externas",4,"","2º Semestre",,"",1042,863
"51736",12,"SI  ","Prácticas Externas",4,"","2º Semestre",,"",1043,863
